url,status,notes,follow_up,new_status,done_note
http://localhost:3000/trial-ended,PASS,,,DONE
http://localhost:3000/terms,PASS,"Need to update it, make sure there is light mode",,DONE
http://localhost:3000/subscription-suspended,"PASS ",Maybe remove or edit it liek it shows account lockec,,DONE
http://localhost:3000/settings/discount-tiers,PASS,,,DONE
http://localhost:3000/settings,PASS,Needs work and clean up,,DONE
http://localhost:3000/session-choice,PASS,,,DONE
http://localhost:3000/rota,PASS,,,DONE
http://localhost:3000/resources/new,PASS,,,DONE
http://localhost:3000/resources/example,PASS,,,DONE
http://localhost:3000/resources,PASS,"ADD an AI directyl in that, to ask question we have that in each file but it shoudl be resource wide",,DONE
http://localhost:3000/reports,FAIL,Needs proper work,,Not Ye SP needs to do that
http://localhost:3000/register/done,PASS,,,DONE
http://localhost:3000/register,PASS,"Need to pass the org logo ",,DONE
http://localhost:3000/profile/hr,FAIL,redirects to profile idk if we have an actual page,,DONE
http://localhost:3000/profile,PASS,Takes time thou needs a bit of redesign,,DONE
http://localhost:3000/privacy,PASS,Takes some time needs to be udpated,,DONE
http://localhost:3000/performance/example,PASS/FAIL,DOnt think its impolekented need to be imokeneted with warmrings if missing ect ect,
http://localhost:3000/performance,PASS/FAIL,DOnt think its impolekented need to be imokeneted with warmrings if missing ect ect,
http://localhost:3000/pending-approvals,PASS,that for amangers only,,x
http://localhost:3000/pending,FAIL,Redircts to dashboard,
http://localhost:3000/org-locked,PASS,,
http://localhost:3000/one-on-ones/example,PASS,Needs a redesing espically the users shoudl be belwo the titlesalso needs to feel like a good docs/notiotn vibe and shoudl show who is editing live(who is on the page),
http://localhost:3000/one-on-ones,PASS,Might need to add a calender,
http://localhost:3000/onboarding,FAIL,redircts to dadhsbord and not implemented needs to ask sarthak also need user onbaodrding complelete steps),
http://localhost:3000/notifications/recruitment,PASS/FAIL,why do we have it and how woudl the user even access this?,
http://localhost:3000/notifications/leave,PASS/FAIL,why do we have it and how woudl the user even access this?,
http://localhost:3000/notifications/hr-metrics,PASS/FAIL,why do we have it and how woudl the user even access this?,
http://localhost:3000/notifications/calendar,PASS/FAIL,why do we have it and how woudl the user even access this?,
http://localhost:3000/notifications/applications,PASS/FAIL,why do we have it and how woudl the user even access this?,
http://localhost:3000/manager/teams,PASS,"IDK why we have that confusong teams and sub team and we need to orgbuse and emxplain it proerply ",
http://localhost:3000/manager/system-overview,PASS,org chart might need to siwtch it to the circel oneor make it a place to quickly move aroudn mayabe,
http://localhost:3000/manager/sub-teams,FAIL,"redicrts to normal teams ",
http://localhost:3000/manager/recruitment,PASS,might need to put that under manager so its not under HR idk,
http://localhost:3000/manager/org-chart,PASS,thats to see who is on shift might need it to match the current styling and maybe switch the org chart to somehting differetn users will get confused,
http://localhost:3000/manager/departments,FAIL,Show empty idk why we have it,
http://localhost:3000/manager,PASS,Need to make it nicer,
http://localhost:3000/maintenance,PASS,,
http://localhost:3000/login,PASS,need to add 2fa also the word connected shoudl be yellow,
http://localhost:3000/legal/data-processing,PASS,Need to update the colours and the data (sarthak needs to update the info),
http://localhost:3000/leave,PASS,"Two details info button combine the one in the top with the bottom one, also shows the wrong year I understadn its from 2025 - 2026 it shoudl def`ult to 2026 ",
http://localhost:3000/jobs/status/example,PASS,,
http://localhost:3000/jobs/register,PASS/FAIL,"need a big of redesing to look nicer not a fan of how it is now, ensure the org photo shows",
http://localhost:3000/jobs/offer-sign/example,FAIL,,
http://localhost:3000/jobs/me/profile,FAIL,Needs alot of work,
http://localhost:3000/jobs/me/example,PASS,Needs alot of work,
http://localhost:3000/jobs/me,PASS,"Needs alot of work, and the logo shoudl show as well",
